id,col_1,col_2,item_name,item_nm,item_desc,item_type_id,slot_type,item_quality,base_value,in_case,is_tradable,binds_on_purchase,is_auction,auction_baseprice,grid_count,transaction_tax_rate,max_stack_size,max_per_listing,collectible_item_type_id,skills,specified_obtain,drop_group_id,show_item,icon_path,icon_atlas,collection,rank7count,item_access,collection_coin,number,number_weight,cost,model_3D,is_show,exchangeId,is_sale,room_price
1021,小型医疗药品箱,小型医疗药品箱,itemName_1021,itemName_1021,itemDesc_1021,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[102],[0],[[0]],0,[0],icon_bx_02,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503007],1,
1022,中型医疗药品箱,中型医疗药品箱,itemName_1022,itemName_1022,itemDesc_1022,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[102],[0],[[0]],0,[0],icon_bx_02,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503008],1,
1023,典藏医疗药品箱,典藏医疗药品箱,itemName_1023,itemName_1023,itemDesc_1023,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[102],[0],[[0]],0,[0],icon_bx_02,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503009],1,
1031,小型时尚潮流箱,小型时尚潮流箱,itemName_1031,itemName_1031,itemDesc_1031,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[103],[0],[[0]],0,[0],icon_bx_03,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503010],1,
1032,中型时尚潮流箱,中型时尚潮流箱,itemName_1032,itemName_1032,itemDesc_1032,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[103],[0],[[0]],0,[0],icon_bx_03,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503011],1,
1033,典藏时尚潮流箱,典藏时尚潮流箱,itemName_1033,itemName_1033,itemDesc_1033,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[103],[0],[[0]],0,[0],icon_bx_03,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503012],1,
1041,小型兵装军火箱,小型兵装军火箱,itemName_1041,itemName_1041,itemDesc_1041,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[104],[0],[[0]],0,[0],icon_bx_04,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503013],1,
1042,中型兵装军火箱,中型兵装军火箱,itemName_1042,itemName_1042,itemDesc_1042,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[104],[0],[[0]],0,[0],icon_bx_04,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503014],1,
1043,典藏兵装军火箱,典藏兵装军火箱,itemName_1043,itemName_1043,itemDesc_1043,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[104],[0],[[0]],0,[0],icon_bx_04,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503015],1,
1051,小型珠宝矿藏箱,小型珠宝矿藏箱,itemName_1051,itemName_1051,itemDesc_1051,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[105],[0],[[0]],0,[0],icon_bx_05,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503016],1,
1052,中型珠宝矿藏箱,中型珠宝矿藏箱,itemName_1052,itemName_1052,itemDesc_1052,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[105],[0],[[0]],0,[0],icon_bx_05,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503017],1,
1053,典藏珠宝矿藏箱,典藏珠宝矿藏箱,itemName_1053,itemName_1053,itemDesc_1053,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[105],[0],[[0]],0,[0],icon_bx_05,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503018],1,
1061,小型文物古董箱,小型文物古董箱,itemName_1061,itemName_1061,itemDesc_1061,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[106],[0],[[0]],0,[0],icon_bx_06,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503019],1,
1062,中型型文物古董箱,中型型文物古董箱,itemName_1062,itemName_1062,itemDesc_1062,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[106],[0],[[0]],0,[0],icon_bx_06,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503020],1,
1063,典藏文物古董箱,典藏文物古董箱,itemName_1063,itemName_1063,itemDesc_1063,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[106],[0],[[0]],0,[0],icon_bx_06,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503021],1,
1071,小型数码娱乐箱,小型数码娱乐箱,itemName_1071,itemName_1071,itemDesc_1071,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[107],[0],[[0]],0,[0],icon_bx_07,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503022],1,
1072,中型数码娱乐箱,中型数码娱乐箱,itemName_1072,itemName_1072,itemDesc_1072,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[107],[0],[[0]],0,[0],icon_bx_07,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503023],1,
1073,典藏数码娱乐箱,典藏数码娱乐箱,itemName_1073,itemName_1073,itemDesc_1073,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[107],[0],[[0]],0,[0],icon_bx_07,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503024],1,
1081,小型能源交通箱,小型能源交通箱,itemName_1081,itemName_1081,itemDesc_1081,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[108],[0],[[0]],0,[0],icon_bx_08,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503025],1,
1082,中型能源交通箱,中型能源交通箱,itemName_1082,itemName_1082,itemDesc_1082,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[108],[0],[[0]],0,[0],icon_bx_08,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503026],1,
1083,典藏能源交通箱,典藏能源交通箱,itemName_1083,itemName_1083,itemDesc_1083,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[108],[0],[[0]],0,[0],icon_bx_08,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503027],1,
1091,小型食饮珍馐箱,小型食饮珍馐箱,itemName_1091,itemName_1091,itemDesc_1091,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[109],[0],[[0]],0,[0],icon_bx_09,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503028],1,
1092,中型食饮珍馐箱,中型食饮珍馐箱,itemName_1092,itemName_1092,itemDesc_1092,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[109],[0],[[0]],0,[0],icon_bx_09,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503029],1,
1093,典藏食饮珍馐箱,典藏食饮珍馐箱,itemName_1093,itemName_1093,itemDesc_1093,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[109],[0],[[0]],0,[0],icon_bx_09,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503030],1,
1101,小型书画古籍箱,小型书画古籍箱,itemName_1101,itemName_1101,itemDesc_1101,[7],22,4,8000,0,0,0,0,"[10,5]",5,[[0]],1,0,[110],[0],[[0]],0,[0],icon_bx_10,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503031],1,
1102,中型书画古籍箱,中型书画古籍箱,itemName_1102,itemName_1102,itemDesc_1102,[7],22,5,40000,0,0,0,0,"[10,5]",10,[[0]],1,0,[110],[0],[[0]],0,[0],icon_bx_10,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503032],1,
1103,典藏书画古籍箱,典藏书画古籍箱,itemName_1103,itemName_1103,itemDesc_1103,[7],22,6,160000,0,0,0,0,"[10,5]",15,[[0]],1,0,[110],[0],[[0]],0,[0],icon_bx_10,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[503033],1,
3001,鱼,凶恶的鱼,emoji_name_201,emoji_name_201,emoji_desc_201,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3001,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3002,鸡,看起来很美的鸡,emoji_name_202,emoji_name_202,emoji_desc_202,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3002,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3003,小丑,小丑专属面具,emoji_name_203,emoji_name_203,emoji_desc_203,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3003,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3004,雪花,晶莹剔透,emoji_name_204,emoji_name_204,emoji_desc_204,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3004,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3005,番茄,多汁的番茄,emoji_name_205,emoji_name_205,emoji_desc_205,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3005,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3006,弹幕,一些信息,emoji_name_206,emoji_name_206,emoji_desc_206,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3006,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3007,碎屏,屏幕好像裂开了,emoji_name_207,emoji_name_207,emoji_desc_207,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3007,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3008,墨鱼,人畜无害的墨鱼,emoji_name_208,emoji_name_208,emoji_desc_208,[3],0,3,1000,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3008,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
3009,表情道具test009,发送表情，需要的道具test009,itemName_3009,itemName_3009,itemDesc_3009,[3],0,3,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],0,[0],icon_3,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
6001,杂货柜,杂货柜,Cabinet_6001,Cabinet_6001,itemDesc_6001,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_0,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6002,高级杂货柜,高级杂货柜,Cabinet_7001,Cabinet_7001,Cabinet_Desc_7001,[6],0,6,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_0,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6101,家具柜,家具柜,Cabinet_6101,Cabinet_6101,itemDesc_6101,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_1,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6102,医疗用品柜,医疗用品柜,Cabinet_6102,Cabinet_6102,itemDesc_6102,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_2,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6103,欧式潮流柜,欧式潮流柜,Cabinet_6103,Cabinet_6103,itemDesc_6103,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_3,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6104,武器柜,武器柜,Cabinet_6104,Cabinet_6104,itemDesc_6104,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_4,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6105,奢华珠宝柜,奢华珠宝柜,Cabinet_6105,Cabinet_6105,itemDesc_6105,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_5,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6106,中式古董柜,中式古董柜,Cabinet_6106,Cabinet_6106,itemDesc_6106,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_6,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6107,数码产品柜,数码产品柜,Cabinet_6107,Cabinet_6107,itemDesc_6107,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_7,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6108,能源金属柜,能源金属柜,Cabinet_6108,Cabinet_6108,itemDesc_6108,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_8,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6109,日式食储柜,日式食储柜,Cabinet_6109,Cabinet_6109,itemDesc_6109,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_9,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
6110,书画古籍柜,书画古籍柜,Cabinet_6110,Cabinet_6110,itemDesc_6110,[6],0,5,0,0,0,0,0,"[100,10]",0,[[0]],0,0,[0],[0],[[0]],0,[0],ui_storage_icon_2_10,CabinetIcon,0,0,[0],0,[0],[0],[0],Cube,0,[0],0,
7001,初级道具箱,随机获得1个道具（有概率获得蓝色道具）,itemName_7001,itemName_7001,itemDesc_7001,[4],0,3,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7001,"[7901,7902,7903]",icon_box_7001,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7002,中级道具箱,随机获得1个道具（有概率获得紫色道具）,itemName_7002,itemName_7002,itemDesc_7002,[4],0,4,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7002,"[7901,7902,7903,7904]",icon_box_7002,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7003,高级道具箱,随机获得1个道具（低概率获得橙色道具）,itemName_7003,itemName_7003,itemDesc_7003,[4],0,5,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7003,"[7901,7902,7903,7904,7905]",icon_box_7003,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7004,大师级道具箱,随机获得1个道具（极低概率获得红色道具）,itemName_7004,itemName_7004,itemDesc_7004,[4],0,6,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7004,"[7901,7902,7903,7904,7905,7906]",icon_box_7004,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7011,时光礼盒1期,随机获得1个物品（极低概率获得称号）,itemName_7011,itemName_7011,itemDesc_7011,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7011,"[250003,250008,250011,250012,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7011,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505001],0,
7012,纪念礼盒1期,随机获得1个物品（极低概率获得头像）,itemName_7012,itemName_7012,itemDesc_7012,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7012,"[220002,220003,220004,220005,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7012,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505002],0,
7013,珍藏礼盒1期,随机获得1个物品（极低概率获得头像框）,itemName_7013,itemName_7013,itemDesc_7013,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7013,"[240006,240007,240008,240004,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7013,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505003],0,
7014,时光礼盒2期,随机获得1个物品（极低概率获得称号）,itemName_7014,itemName_7014,itemDesc_7014,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7014,"[250027,250028,250029,250030,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7014,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505004],0,
7015,纪念礼盒2期,随机获得1个物品（极低概率获得头像）,itemName_7015,itemName_7015,itemDesc_7015,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7015,"[220006,220007,220008,220009,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7015,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505005],0,
7016,珍藏礼盒2期,随机获得1个物品（极低概率获得头像框）,itemName_7016,itemName_7016,itemDesc_7016,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7016,"[240012,240013,240014,240015,7907,7908,7909,7910,7901,7902,7903,7904,7905,7906,7912,7911]",icon_box_7016,iconitem7,0,0,[1004],0,[0],[0],[0],Cube,1,[505006],0,
7101,角色自选礼盒基础款,初始17个角色自选礼盒,itemName_7101,itemName_7101,itemDesc_7101,[5],0,6,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],"[[150101,1],[150102,1],[150103,1],[150104,1],[150105,1],[150106,1],[150107,1],[150108,1],[150109,1],[150110,1],[150201,1],[150202,1],[150203,1],[150204,1],[150205,1],[150206,1],[150207,1],[150208,1],[150209,1],[150301,1]]",0,[0],icon_box_7101,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7102,皮肤自选礼盒基础款,初始17个角色皮肤自选礼盒,itemName_7102,itemName_7102,itemDesc_7102,[5],0,6,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],"[[1410101,1],[1410201,1],[1410301,1],[1410401,1],[1410501,1],[1410601,1],[1410701,1],[1410801,1],[1410901,1],[1411001,1],[1420101,1],[1420201,1],[1420301,1],[1420401,1],[1420501,1],[1420601,1],[1420701,1],[1420801,1],[1420901,1],[1430101,1],[1420802,1]]",0,[0],icon_box_7102,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7103,DCL礼包,金币X200，银币X200W，角色自选礼盒X2,itemName_7103,itemName_7103,itemDesc_7103,[4],0,6,0,0,0,0,0,"[100,5]",0,[[0]],999,0,[0],[0],[[0]],7103,"[1,2,7101]",icon_box_7103,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7104,银币箱子,随机获得1000000-1500000银币,itemName_7104,itemName_7104,itemDesc_7104,[4],0,6,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7104,[1],icon_box_7104,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7105,小袋银币,随机获得5000-30000银币,itemName_7105,itemName_7105,itemDesc_7105,[4],0,5,0,0,0,0,0,"[10,5]",0,[[0]],999,0,[0],[0],[[0]],7105,[1],icon_box_7105,iconitem7,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
7106,表情自选,表情自选,itemName_7106,itemName_7106,itemDesc_7106,[5],0,5,0,0,0,0,0,"[10,5]",0,[[0]],1,0,[0],[0],"[[3001,1],[3002,1],[3003,1],[3004,1],[3005,1],[3006,1],[3007,1],[3008,1]]",0,[0],icon_3001,iconitem1,0,0,[0],0,[0],[0],[0],Cube,1,[0],0,
