group_id,col_1,col_2,weight_type,items_list
1016,家具物品品质6,家具物品品质6,2,"[[101,1016005,1,1,11431],[101,1066001,1,1,5855],[101,1016002,1,1,6009],[101,1016001,1,1,5155],[101,1016004,1,1,283],[101,1046002,1,1,3200],[101,1016003,1,1,3939],[101,1016006,1,1,1842],[101,1066006,1,1,1142],[100,1006001,1,1,5]]"
1017,家具物品品质6快递盒,家具物品品质6快递盒,2,"[[104,1046003,1,1,18487],[101,1016005,1,1,11949]]"
1018,家具物品品质6仓库,家具物品品质6仓库,2,"[[104,1046003,1,1,18487],[101,1016005,1,1,11587],[101,1066001,1,1,5899],[101,1016002,1,1,5998],[101,1016001,1,1,5462],[101,1046002,1,1,3292]]"
1019,家具物品品质6集装箱,家具物品品质6集装箱,2,"[[104,1046003,1,1,18487],[101,1016005,1,1,12217],[101,1066001,1,1,6059],[101,1016002,1,1,5829],[101,1016001,1,1,5323],[101,1046002,1,1,3243],[101,1016003,1,1,3782],[101,1016006,1,1,1771]]"
1021,医疗药品品质1,医疗药品品质1,2,"[[102,1021001,1,1,1693],[102,1021010,1,1,1556],[102,1021009,1,1,1351],[102,1021002,1,1,689],[102,1021003,1,1,575],[102,1021008,1,1,290],[102,1021005,1,1,972],[102,1021004,1,1,592],[102,1021006,1,1,495],[102,1011007,1,1,213],[102,1021007,1,1,517]]"
1022,医疗药品品质2,医疗药品品质2,2,"[[102,1022009,1,1,725],[102,1022006,1,1,353],[102,1022002,1,1,334],[102,1022008,1,1,490],[102,1022004,1,1,497],[102,1092001,1,1,219],[102,1092005,1,1,203],[102,1022003,1,1,145],[102,1022010,1,1,309],[102,1022001,1,1,125],[102,1022007,1,1,197],[102,1082010,1,1,59],[102,1022005,1,1,67]]"
1023,医疗药品品质3,医疗药品品质3,2,"[[102,1023002,1,1,2403],[102,1023009,1,1,1577],[102,1023001,1,1,690],[102,1023008,1,1,479],[102,1023007,1,1,821],[102,1023006,1,1,432],[102,1023003,1,1,651],[102,1023005,1,1,585],[102,1023010,1,1,255],[102,1023004,1,1,412]]"
1024,医疗药品品质4,医疗药品品质4,2,"[[102,1094007,1,1,485],[102,1024008,1,1,175],[102,1074001,1,1,171],[102,1024010,1,1,265],[102,1024009,1,1,363],[102,1024003,1,1,348],[102,1024004,1,1,144],[102,1014007,1,1,83],[102,1014001,1,1,111],[102,1024001,1,1,205],[102,1024007,1,1,46],[102,1024005,1,1,174],[102,1024006,1,1,81],[102,1024002,1,1,74]]"
1025,医疗药品品质5,医疗药品品质5,2,"[[102,1025005,1,1,1282],[102,1025002,1,1,471],[102,1025001,1,1,415],[102,1025007,1,1,131],[102,1025006,1,1,323],[102,1025004,1,1,161],[102,1025003,1,1,117]]"
1026,医疗药品品质6,医疗药品品质6,2,"[[102,1026005,1,1,36666],[102,1026006,1,1,15329],[102,1026003,1,1,4059],[102,1096003,1,1,5683],[102,1026008,1,1,966],[102,1026004,1,1,9213],[102,1026002,1,1,7881],[102,1026007,1,1,4150],[102,1026001,1,1,882],[100,1006001,1,1,5]]"
1027,医疗药品品质6快递盒,医疗药品品质6快递盒,2,"[[102,1026005,1,1,38060]]"
1028,医疗药品品质6仓库,医疗药品品质6仓库,2,"[[102,1026005,1,1,37557],[102,1026006,1,1,14970],[102,1026003,1,1,4199],[102,1096003,1,1,6111],[102,1026004,1,1,8716]]"
1029,医疗药品品质6集装箱,医疗药品品质6集装箱,2,"[[102,1026005,1,1,35845],[102,1026006,1,1,15085],[102,1026003,1,1,4284],[102,1096003,1,1,5993],[102,1026004,1,1,8989],[102,1026002,1,1,7656],[102,1026007,1,1,4107]]"
1031,时尚潮流品质1,时尚潮流品质1,2,"[[103,1031010,1,1,890],[103,1031001,1,1,853],[103,1071005,1,1,499],[103,1031002,1,1,1405],[103,1031004,1,1,689],[103,1031003,1,1,1216],[103,1031007,1,1,509],[103,1031008,1,1,394],[103,1031006,1,1,410],[103,1031005,1,1,274],[103,1031009,1,1,323]]"
1032,时尚潮流品质2,时尚潮流品质2,2,"[[103,1032010,1,1,351],[103,1032002,1,1,337],[103,1032009,1,1,649],[103,1032003,1,1,328],[103,1032004,1,1,285],[103,1032006,1,1,391],[103,1032005,1,1,141],[103,1032001,1,1,133],[103,1032007,1,1,109],[103,1032008,1,1,77]]"
1033,时尚潮流品质3,时尚潮流品质3,2,"[[103,1033010,1,1,1390],[103,1033004,1,1,2185],[103,1033005,1,1,2084],[103,1033007,1,1,2186],[103,1063001,1,1,964],[103,1033006,1,1,577],[103,1053010,1,1,541],[103,1033008,1,1,580],[103,1033009,1,1,596],[103,1013006,1,1,263],[103,1033001,1,1,467],[103,1033002,1,1,935],[103,1033003,1,1,246],[103,1083010,1,1,173]]"
1034,时尚潮流品质4,时尚潮流品质4,2,"[[103,1034004,1,1,398],[103,1014008,1,1,391],[103,1034005,1,1,380],[103,1054005,1,1,231],[103,1054011,1,1,79],[103,1034003,1,1,221],[103,1034007,1,1,226],[103,1034002,1,1,223],[103,1034009,1,1,117],[103,1034001,1,1,199],[103,1034006,1,1,201],[103,1034010,1,1,76],[103,1014009,1,1,73],[103,1034008,1,1,134]]"
1035,时尚潮流品质5,时尚潮流品质5,2,"[[103,1035005,1,1,2258],[103,1035003,1,1,519],[103,1055002,1,1,448],[103,1035004,1,1,649],[103,1015009,1,1,323],[103,1035010,1,1,788],[103,1035007,1,1,248],[103,1035008,1,1,708],[103,1035001,1,1,241],[103,1035002,1,1,519],[103,1035006,1,1,175],[103,1065004,1,1,164],[103,1085008,1,1,82],[103,1035009,1,1,531]]"
1036,时尚潮流品质6,时尚潮流品质6,2,"[[103,1056007,1,1,14536],[103,1036001,1,1,23214],[103,1036004,1,1,4433],[103,1086002,1,1,667],[103,1036002,1,1,12106],[103,1036005,1,1,10637],[103,1036003,1,1,3831],[103,1046002,1,1,3466],[103,1086003,1,1,2869],[103,1086008,1,1,3367],[100,1006001,1,1,5]]"
1037,时尚潮流品质6快递盒,时尚潮流品质6快递盒,2,"[[104,1046003,1,1,18487],[103,1056007,1,1,13602],[103,1036001,1,1,22312]]"
1038,时尚潮流品质6仓库,时尚潮流品质6仓库,2,"[[104,1046003,1,1,18487],[103,1056007,1,1,14470],[103,1036001,1,1,23601],[103,1036002,1,1,12438],[103,1036005,1,1,10602],[103,1046002,1,1,3186]]"
1039,时尚潮流品质6集装箱,时尚潮流品质6集装箱,2,"[[104,1046003,1,1,18487],[103,1056007,1,1,13769],[103,1036001,1,1,22530],[103,1036004,1,1,4301],[103,1036002,1,1,11603],[103,1036005,1,1,10060],[103,1036003,1,1,3899],[103,1046002,1,1,3458],[103,1086003,1,1,2734],[103,1086008,1,1,3414]]"
1041,兵装军火品质1,兵装军火品质1,2,"[[104,1041001,1,1,1667],[104,1041006,1,1,1520],[104,1051002,1,1,462],[104,1041008,1,1,520],[104,1041009,1,1,444],[104,1041004,1,1,297],[104,1041010,1,1,246],[104,1041002,1,1,231],[104,1041003,1,1,318],[104,1041007,1,1,211],[104,1041005,1,1,345]]"
1042,兵装军火品质2,兵装军火品质2,2,"[[104,1042010,1,1,339],[104,1042002,1,1,642],[104,1042003,1,1,544],[104,1082006,1,1,215],[104,1042001,1,1,453],[104,1062005,1,1,71],[104,1042008,1,1,138],[104,1042005,1,1,113],[104,1042006,1,1,111],[104,1042007,1,1,193],[104,1042004,1,1,75],[104,1042009,1,1,74]]"
1043,兵装军火品质3,兵装军火品质3,2,"[[104,1043006,1,1,2094],[104,1043010,1,1,702],[104,1083008,1,1,649],[104,1043007,1,1,953],[104,1043008,1,1,824],[104,1043001,1,1,371],[104,1043009,1,1,522],[104,1043002,1,1,457],[104,1083007,1,1,307],[104,1043004,1,1,598],[104,1043005,1,1,305],[104,1043003,1,1,528],[104,1043011,1,1,413]]"
1044,兵装军火品质4,兵装军火品质4,2,"[[104,1044006,1,1,719],[104,1044008,1,1,88],[104,1044007,1,1,299],[104,1044004,1,1,138],[104,1044010,1,1,108],[104,1044009,1,1,101],[104,1044002,1,1,223],[104,1044005,1,1,167],[104,1044001,1,1,152],[104,1044003,1,1,116],[104,1044011,1,1,65]]"
1045,兵装军火品质5,兵装军火品质5,2,"[[104,1045009,1,1,1551],[104,1065009,1,1,332],[104,1045005,1,1,326],[104,1045003,1,1,294],[104,1045008,1,1,480],[104,1045007,1,1,260],[104,1045004,1,1,121],[104,1045002,1,1,256],[104,1045006,1,1,353],[104,1045010,1,1,109],[104,1045001,1,1,308]]"
1046,兵装军火品质6,兵装军火品质6,2,"[[104,1046009,1,1,19624],[104,1046006,1,1,3838],[104,1106012,1,1,2246],[104,1046002,1,1,3305],[104,1046007,1,1,7031],[104,1046001,1,1,4424],[104,1046004,1,1,6811],[104,1046008,1,1,1903],[104,1046005,1,1,2315],[100,1006001,1,1,5]]"
1047,兵装军火品质6快递盒,兵装军火品质6快递盒,2,[[]]
1048,兵装军火品质6仓库,兵装军火品质6仓库,2,"[[104,1046009,1,1,18994],[104,1046002,1,1,3217],[104,1046007,1,1,6889]]"
1049,兵装军火品质6集装箱,兵装军火品质6集装箱,2,"[[104,1046009,1,1,18830],[104,1106012,1,1,2308],[104,1046002,1,1,3489],[104,1046007,1,1,6798],[104,1046001,1,1,4384],[104,1046004,1,1,6758],[104,1046005,1,1,2301]]"
1051,珠宝矿藏品质1,珠宝矿藏品质1,2,"[[105,1051001,1,1,801],[105,1051010,1,1,784],[105,1051002,1,1,467],[105,1051008,1,1,532],[105,1051004,1,1,496],[105,1051009,1,1,384],[105,1061006,1,1,707],[105,1051005,1,1,282],[105,1051006,1,1,239],[105,1051003,1,1,190],[105,1051007,1,1,218]]"
1052,珠宝矿藏品质2,珠宝矿藏品质2,2,"[[105,1062006,1,1,386],[105,1062004,1,1,211]]"
1053,珠宝矿藏品质3,珠宝矿藏品质3,2,"[[105,1063005,1,1,551],[105,1053002,1,1,1531],[105,1053007,1,1,1336],[105,1053003,1,1,1368],[105,1053010,1,1,581],[105,1053006,1,1,103],[105,1053008,1,1,193],[105,1053004,1,1,190],[105,1053009,1,1,181],[105,1053005,1,1,172],[105,1053001,1,1,178],[105,1063011,1,1,74]]"
1054,珠宝矿藏品质4,珠宝矿藏品质4,2,"[[105,1024008,1,1,184],[105,1054005,1,1,229],[105,1064002,1,1,203],[105,1054006,1,1,201],[105,1054004,1,1,189],[105,1054011,1,1,74],[105,1054003,1,1,315],[105,1054002,1,1,238],[105,1054001,1,1,226],[105,1064010,1,1,100],[105,1064005,1,1,62],[105,1054010,1,1,118],[105,1054007,1,1,106],[105,1054008,1,1,92],[105,1054009,1,1,84]]"
1055,珠宝矿藏品质5,珠宝矿藏品质5,2,"[[105,1055001,1,1,1552],[105,1055002,1,1,451],[105,1035004,1,1,661],[105,1065005,1,1,411],[105,1055009,1,1,925],[105,1055008,1,1,593],[105,1055007,1,1,534],[105,1055004,1,1,202],[105,1065001,1,1,169],[105,1065007,1,1,368],[105,1055006,1,1,608],[105,1065003,1,1,220],[105,1055003,1,1,99]]"
1056,珠宝矿藏品质6,珠宝矿藏品质6,2,"[[105,1056001,1,1,36683],[105,1056009,1,1,35554],[105,1055005,1,1,15141],[105,1056007,1,1,13918],[105,1056003,1,1,26363],[105,1056004,1,1,23069],[105,1056008,1,1,21633],[105,1056011,1,1,6513],[105,1056014,1,1,4543],[105,1056015,1,1,641],[105,1056013,1,1,152],[105,1056002,1,1,16380],[105,1056012,1,1,411],[105,1066002,1,1,7232],[105,1066005,1,1,6125],[105,1056006,1,1,5321],[105,1056005,1,1,6649],[105,1056010,1,1,3866],[100,1006001,1,1,5]]"
1057,珠宝矿藏品质6快递盒,珠宝矿藏品质6快递盒,2,"[[105,1056001,1,1,37878],[105,1056009,1,1,35533],[105,1055005,1,1,14173],[105,1056007,1,1,13427],[105,1056003,1,1,26873],[105,1056004,1,1,22224],[105,1056008,1,1,20782]]"
1058,珠宝矿藏品质6仓库,珠宝矿藏品质6仓库,2,"[[105,1056001,1,1,36716],[105,1056009,1,1,35886],[105,1055005,1,1,14852],[105,1056007,1,1,13967],[105,1056003,1,1,27707],[105,1056004,1,1,22688],[105,1056008,1,1,21354],[105,1056002,1,1,16039],[105,1066002,1,1,6841],[105,1066005,1,1,6469],[105,1056006,1,1,5278]]"
1059,珠宝矿藏品质6集装箱,珠宝矿藏品质6集装箱,2,"[[105,1056001,1,1,36521],[105,1056009,1,1,36718],[105,1055005,1,1,14668],[105,1056007,1,1,14279],[105,1056003,1,1,25351],[105,1056004,1,1,23582],[105,1056008,1,1,20256],[105,1056011,1,1,6607],[105,1056014,1,1,4199],[105,1056002,1,1,16021],[105,1066002,1,1,6774],[105,1066005,1,1,6066],[105,1056006,1,1,5643],[105,1056005,1,1,6524]]"
1061,文物古董品质1,文物古董品质1,2,"[[106,1061005,1,1,776],[106,1061007,1,1,672],[106,1031007,1,1,550],[106,1061001,1,1,912],[106,1061008,1,1,1258],[106,1061002,1,1,494],[106,1061003,1,1,316],[106,1061006,1,1,738],[106,1061010,1,1,169],[106,1061004,1,1,269],[106,1061009,1,1,246]]"
1062,文物古董品质2,文物古董品质2,2,"[[106,1062006,1,1,393],[106,1062007,1,1,370],[106,1062010,1,1,646],[106,1062001,1,1,135],[106,1062003,1,1,131],[106,1062005,1,1,73],[106,1102001,1,1,230],[106,1062008,1,1,394],[106,1062004,1,1,218],[106,1062009,1,1,71],[106,1062002,1,1,77]]"
1063,文物古董品质3,文物古董品质3,2,"[[106,1033010,1,1,1350],[106,1063001,1,1,913],[106,1013007,1,1,583],[106,1063005,1,1,539],[106,1053006,1,1,96],[106,1063002,1,1,504],[106,1063008,1,1,813],[106,1063003,1,1,319],[106,1063010,1,1,447],[106,1063004,1,1,550],[106,1063006,1,1,241],[106,1053004,1,1,186],[106,1053005,1,1,169],[106,1063009,1,1,164],[106,1063007,1,1,174],[106,1063011,1,1,74]]"
1064,文物古董品质4,文物古董品质4,2,"[[106,1034004,1,1,418],[106,1024008,1,1,184],[106,1064008,1,1,279],[106,1064002,1,1,196],[106,1054006,1,1,187],[106,1034003,1,1,234],[106,1034007,1,1,233],[106,1014005,1,1,144],[106,1104008,1,1,156],[106,1104002,1,1,151],[106,1104009,1,1,119],[106,1064004,1,1,308],[106,1104006,1,1,118],[106,1034009,1,1,116],[106,1064003,1,1,100],[106,1064001,1,1,106],[106,1064009,1,1,203],[106,1104007,1,1,94],[106,1064010,1,1,96],[106,1104010,1,1,71],[106,1064005,1,1,62],[106,1064007,1,1,170],[106,1064006,1,1,159],[106,1104003,1,1,135]]"
1065,文物古董品质5,文物古董品质5,2,"[[106,1035003,1,1,553],[106,1055002,1,1,454],[106,1015008,1,1,650],[106,1065005,1,1,415],[106,1015009,1,1,313],[106,1105003,1,1,186],[106,1055004,1,1,210],[106,1065001,1,1,175],[106,1065009,1,1,341],[106,1035007,1,1,260],[106,1105002,1,1,258],[106,1065007,1,1,359],[106,1035001,1,1,228],[106,1065008,1,1,357],[106,1105005,1,1,347],[106,1105001,1,1,286],[106,1035006,1,1,174],[106,1065003,1,1,236],[106,1105004,1,1,192],[106,1015006,1,1,138],[106,1105010,1,1,109],[106,1065012,1,1,223],[106,1015005,1,1,192],[106,1065006,1,1,204],[106,1105008,1,1,171],[106,1105006,1,1,179],[106,1065004,1,1,161],[106,1065002,1,1,261],[106,1055003,1,1,102],[106,1065010,1,1,115],[106,1065011,1,1,88],[106,1105011,1,1,125]]"
1066,文物古董品质6,文物古董品质6,2,"[[106,1055005,1,1,14794],[106,1016005,1,1,12250],[106,1066001,1,1,5771],[106,1026003,1,1,4128],[106,1056012,1,1,402],[106,1066003,1,1,3852],[106,1066002,1,1,6769],[106,1026004,1,1,8698],[106,1106008,1,1,6796],[106,1066005,1,1,6536],[106,1106003,1,1,6470],[106,1066010,1,1,11614],[106,1106007,1,1,5477],[106,1066008,1,1,11650],[106,1056006,1,1,5772],[106,1016001,1,1,5423],[106,1106012,1,1,2338],[106,1066011,1,1,1672],[106,1106009,1,1,665],[106,1106010,1,1,617],[106,1106002,1,1,8232],[106,1066004,1,1,7207],[106,1046007,1,1,6644],[106,1106011,1,1,783],[106,1106005,1,1,6089],[106,1106004,1,1,5266],[106,1106006,1,1,3669],[106,1066007,1,1,6273],[106,1066009,1,1,7421],[106,1046005,1,1,2382],[106,1016006,1,1,1865],[106,1066006,1,1,1218],[106,1106001,1,1,4133],[106,1106013,1,1,3333],[100,1006001,1,1,5]]"
1067,文物古董品质6快递盒,文物古董品质6快递盒,2,"[[106,1055005,1,1,14255],[106,1016005,1,1,11354]]"
1068,文物古董品质6仓库,文物古董品质6仓库,2,"[[106,1055005,1,1,14030],[106,1016005,1,1,11435],[106,1066001,1,1,6036],[106,1026003,1,1,4089],[106,1066002,1,1,6894],[106,1026004,1,1,8784],[106,1106008,1,1,6971],[106,1066005,1,1,6074],[106,1106003,1,1,6497],[106,1066010,1,1,12323],[106,1106007,1,1,5747],[106,1066008,1,1,11075],[106,1056006,1,1,5636],[106,1016001,1,1,5580],[106,1106002,1,1,8178],[106,1046007,1,1,7152],[106,1106005,1,1,5583],[106,1106004,1,1,5081]]"
1069,文物古董品质6集装箱,文物古董品质6集装箱,2,"[[106,1055005,1,1,15060],[106,1016005,1,1,12223],[106,1066001,1,1,6179],[106,1026003,1,1,4344],[106,1066003,1,1,3731],[106,1066002,1,1,6881],[106,1026004,1,1,8774],[106,1106008,1,1,7006],[106,1066005,1,1,6294],[106,1106003,1,1,6329],[106,1066010,1,1,11734],[106,1106007,1,1,5862],[106,1066008,1,1,10854],[106,1056006,1,1,5460],[106,1016001,1,1,5443],[106,1106012,1,1,2358],[106,1106002,1,1,8196],[106,1066004,1,1,7017],[106,1046007,1,1,7323],[106,1106005,1,1,5593],[106,1106004,1,1,5277],[106,1106006,1,1,3480],[106,1066007,1,1,6288],[106,1066009,1,1,7180],[106,1046005,1,1,2337],[106,1016006,1,1,1904],[106,1106001,1,1,4047]]"
1071,数码娱乐品质1,数码娱乐品质1,2,"[[107,1071002,1,1,860],[107,1071003,1,1,1658],[107,1071005,1,1,531],[107,1071004,1,1,724],[107,1011001,1,1,641],[107,1071009,1,1,644],[107,1071007,1,1,1222],[107,1071006,1,1,1108],[107,1011005,1,1,524],[107,1101009,1,1,319],[107,1071001,1,1,790],[107,1031008,1,1,399],[107,1071010,1,1,296],[107,1071008,1,1,527],[107,1031009,1,1,342]]"
1072,数码娱乐品质2,数码娱乐品质2,2,"[[107,1022002,1,1,334],[107,1072001,1,1,488],[107,1072008,1,1,248],[107,1012001,1,1,223],[107,1072006,1,1,214],[107,1012009,1,1,163],[107,1012003,1,1,138],[107,1072007,1,1,114],[107,1082003,1,1,100],[107,1022003,1,1,144],[107,1012010,1,1,93],[107,1012008,1,1,86],[107,1072004,1,1,405],[107,1072003,1,1,328],[107,1082005,1,1,127],[107,1072009,1,1,218],[107,1072010,1,1,167],[107,1072002,1,1,75],[107,1072005,1,1,72],[107,1082011,1,1,13]]"
