combo,million_strict,high_strict,million_relaxed,high_relaxed,million_items_strict,million_items_relaxed_only,high_value_extra_strict
武器+珠宝+文玩+书籍,2,15,7,25,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);钻石原石（巨粒）(512000);名刀：菊一文字(422002);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
医疗+武器+文玩+书籍,2,15,6,26,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);名刀：菊一文字(422002);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);永恒时尚指南(266050);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+武器+珠宝+文玩,2,14,9,23,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
时尚+文玩+数码+书籍,2,14,7,25,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);永恒时尚指南(266050);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
时尚+武器+交通+书籍,2,14,7,27,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
珠宝+文玩+饮食+书籍,2,14,7,26,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);钻石原石（巨粒）(512000);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);亚历山大变石(128000);曜变天目盏(112500);单人郊游快艇(106500)
武器+文玩+数码+书籍,2,14,6,26,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);名刀：菊一文字(422002);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
武器+文玩+饮食+书籍,2,14,6,28,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);名刀：菊一文字(422002);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+珠宝+文玩+书籍,2,13,9,24,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);钻石原石（巨粒）(512000);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
时尚+武器+文玩+交通,2,13,9,24,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
武器+文玩+交通+书籍,2,13,9,24,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);名刀：菊一文字(422002);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+医疗+数码+书籍,2,13,8,26,《富春山居图》(1236666);复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);超声波诊断仪(475000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
家居+文玩+饮食+书籍,2,13,8,26,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
家居+武器+文玩+数码,2,13,8,24,豪宅管理用黑盒(7402320);《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+武器+珠宝+文玩,2,13,7,25,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
医疗+珠宝+文玩+书籍,2,13,7,23,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);钻石原石（巨粒）(512000);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
武器+珠宝+文玩+饮食,2,13,7,27,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);钻石原石（巨粒）(512000);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);曜变天目盏(112500);单人郊游快艇(106500)
珠宝+文玩+数码+书籍,2,13,7,22,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);钻石原石（巨粒）(512000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+珠宝+文玩+数码,2,12,9,22,豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000),私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);AI服务器(470400);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
时尚+珠宝+文玩+交通,2,12,9,22,羊脂白玉籽和田玉(2516000);超级跑车钥匙(1495000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
珠宝+文玩+交通+书籍,2,12,9,22,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);钻石原石（巨粒）(512000);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+医疗+文玩+书籍,2,12,8,25,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古医书《伤寒论》(158940);古剑(143100);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
医疗+时尚+数码+书籍,2,12,7,26,《富春山居图》(1236666);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);古医书《伤寒论》(158940);单人郊游快艇(106500)
医疗+珠宝+文玩+数码,2,12,7,23,羊脂白玉籽和田玉(2516000);复苏呼吸机(1089660),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);敦煌绢画(255840);古医书《伤寒论》(158940);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+时尚+交通+书籍,2,12,7,25,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
家居+时尚+武器+交通,2,12,7,24,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
武器+珠宝+文玩+数码,2,12,7,24,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);AI服务器(470400);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
医疗+武器+数码+书籍,2,12,6,24,《富春山居图》(1236666);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
医疗+武器+文玩+数码,2,12,6,24,《富春山居图》(1236666);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
医疗+文玩+交通+书籍,2,11,9,22,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
医疗+时尚+交通+书籍,2,11,9,26,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);古医书《伤寒论》(158940);单人郊游快艇(106500)
家居+文玩+交通+书籍,2,11,9,23,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);单人郊游快艇(106500)
时尚+珠宝+交通+书籍,2,11,9,23,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);黄金权杖(141300);单人郊游快艇(106500)
武器+珠宝+文玩+交通,2,11,9,22,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);敦煌绢画(255840);古剑(143100);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+医疗+文玩+数码,2,11,8,24,豪宅管理用黑盒(7402320);复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);古医书《伤寒论》(158940);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+医疗+武器+数码,2,11,7,25,《富春山居图》(1236666);复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);金缕玉衣(281600);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+数码+交通+书籍,2,11,7,23,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);单人郊游快艇(106500)
时尚+数码+交通+书籍,2,11,7,25,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);单人郊游快艇(106500)
医疗+文玩+饮食+书籍,2,11,6,26,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
文玩+数码+饮食+书籍,2,11,6,23,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
医疗+数码+交通+书籍,2,10,9,24,《富春山居图》(1236666);复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);超声波诊断仪(475000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);古医书《伤寒论》(158940);单人郊游快艇(106500)
文玩+交通+饮食+书籍,2,10,9,24,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
文玩+数码+交通+书籍,2,10,9,21,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
时尚+交通+饮食+书籍,2,10,9,24,超级跑车钥匙(1495000);《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);单人郊游快艇(106500)
