combo,million_strict,high_strict,million_relaxed,high_relaxed,million_items_strict,million_items_relaxed_only,high_value_extra_strict
文玩+饮食+书籍,2,9,6,22,羊脂白玉籽和田玉(2516000);《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);双羊尊(567900);红木屏风(361000);永恒时尚指南(266050);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
时尚+武器+文玩,1,12,7,21,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);名刀：菊一文字(422002);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+武器+书籍,1,12,5,23,《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
家居+时尚+书籍,1,11,7,22,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
时尚+珠宝+文玩,1,11,7,19,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+时尚+武器,1,11,6,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);金缕玉衣(281600);007同款防弹西装(199080);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+武器+文玩,1,10,8,18,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);小米云端100寸液晶电视(255115);金丝楠木椅(187812);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+数码+书籍,1,10,6,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);单人郊游快艇(106500)
家居+武器+书籍,1,10,6,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+时尚+书籍,1,9,7,22,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);古医书《伤寒论》(158940);单人郊游快艇(106500)
时尚+珠宝+书籍,1,9,7,19,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);黄金权杖(141300);单人郊游快艇(106500)
武器+交通+书籍,1,9,7,20,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
武器+珠宝+书籍,1,9,7,18,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
医疗+武器+书籍,1,9,6,21,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
医疗+武器+文玩,1,9,6,21,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);古医书《伤寒论》(158940);古剑(143100);黄金权杖(141300);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+武器+数码,1,9,5,20,《富春山居图》(1236666),豪宅管理用黑盒(7402320);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);金缕玉衣(281600);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+数码+书籍,1,9,5,21,《富春山居图》(1236666),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);单人郊游快艇(106500)
武器+数码+书籍,1,9,4,21,《富春山居图》(1236666),蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
家居+珠宝+文玩,1,8,9,17,羊脂白玉籽和田玉(2516000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);敦煌绢画(255840);小米云端100寸液晶电视(255115);金丝楠木椅(187812);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+饮食+书籍,1,8,8,20,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);敦煌绢画(255840);古剑(143100);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
医疗+时尚+数码,1,8,7,21,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);单人郊游快艇(106500)
医疗+珠宝+文玩,1,8,7,16,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);敦煌绢画(255840);古医书《伤寒论》(158940);黄金权杖(141300);亚历山大变石(128000);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
家居+武器+饮食,1,8,7,19,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),重型巡航摩托车(357040);金缕玉衣(281600);古剑(143100);黄金权杖(141300);野生大黄鱼(127260);曜变天目盏(112500);单人郊游快艇(106500)
时尚+饮食+书籍,1,8,7,20,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);红木屏风(361000);重型巡航摩托车(357040);时尚轿跑(293400);敦煌绢画(255840);斯卡奥小金人(168000);单人郊游快艇(106500)
珠宝+文玩+数码,1,8,7,15,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);AI服务器(470400);重型巡航摩托车(357040);敦煌绢画(255840);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
珠宝+文玩+饮食,1,8,7,19,羊脂白玉籽和田玉(2516000),蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);钻石原石（巨粒）(512000);敦煌绢画(255840);黄金权杖(141300);亚历山大变石(128000);曜变天目盏(112500);单人郊游快艇(106500)
时尚+武器+交通,1,8,6,22,超级跑车钥匙(1495000),私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);007同款防弹西装(199080);斯卡奥小金人(168000);古剑(143100);单人郊游快艇(106500)
武器+文玩+数码,1,8,6,19,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
武器+文玩+饮食,1,8,6,21,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),双羊尊(567900);名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
武器+饮食+书籍,1,8,6,20,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);重型巡航摩托车(357040);《般若神掌》(284519);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
医疗+交通+书籍,1,7,9,18,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);古医书《伤寒论》(158940);单人郊游快艇(106500)
家居+珠宝+书籍,1,7,9,18,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+文玩+交通,1,7,9,17,超级跑车钥匙(1495000),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);单人郊游快艇(106500)
武器+文玩+交通,1,7,9,17,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),名刀：菊一文字(422002);重型巡航摩托车(357040);《般若神掌》(284519);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
珠宝+交通+书籍,1,7,9,16,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);黄金权杖(141300);单人郊游快艇(106500)
珠宝+文玩+交通,1,7,9,15,羊脂白玉籽和田玉(2516000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),钻石原石（巨粒）(512000);重型巡航摩托车(357040);敦煌绢画(255840);黄金权杖(141300);亚历山大变石(128000);单人郊游快艇(106500)
家居+医疗+书籍,1,7,8,21,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);敦煌绢画(255840);古医书《伤寒论》(158940);古剑(143100);单人郊游快艇(106500)
家居+文玩+数码,1,7,8,17,豪宅管理用黑盒(7402320),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);金丝楠木椅(187812);小米全智能扫地机器人(170362);单人郊游快艇(106500)
家居+武器+珠宝,1,7,8,16,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),重型巡航摩托车(357040);金缕玉衣(281600);敦煌绢画(255840);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
时尚+珠宝+交通,1,7,8,16,超级跑车钥匙(1495000),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);黄金权杖(141300);单人郊游快艇(106500)
医疗+珠宝+数码,1,7,7,15,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);敦煌绢画(255840);黄金权杖(141300);单人郊游快艇(106500)
家居+交通+书籍,1,7,7,19,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);古剑(143100);单人郊游快艇(106500)
家居+医疗+数码,1,7,7,20,复苏呼吸机(1089660),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);单人郊游快艇(106500)
家居+时尚+交通,1,7,7,17,超级跑车钥匙(1495000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);环球小姐冠军皇冠(195154);斯卡奥小金人(168000);单人郊游快艇(106500)
数码+交通+书籍,1,7,7,17,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),翡翠屏风(844000);AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);单人郊游快艇(106500)
珠宝+数码+书籍,1,7,7,15,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);黄金权杖(141300);单人郊游快艇(106500)
医疗+文玩+数码,1,7,6,19,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);古医书《伤寒论》(158940);紫檀木金针针灸套装(112896);单人郊游快艇(106500)
时尚+数码+交通,1,7,6,17,超级跑车钥匙(1495000),私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);单人郊游快艇(106500)
交通+饮食+书籍,1,6,9,17,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),翡翠屏风(844000);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);单人郊游快艇(106500)
医疗+时尚+交通,1,6,8,18,超级跑车钥匙(1495000),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);单人郊游快艇(106500)
时尚+交通+饮食,1,6,8,17,超级跑车钥匙(1495000),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),民用垂直起降飞行器(452800);重型巡航摩托车(357040);时尚轿跑(293400);斯卡奥小金人(168000);单人郊游快艇(106500)
医疗+珠宝+书籍,1,6,7,16,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);敦煌绢画(255840);古医书《伤寒论》(158940);黄金权杖(141300);单人郊游快艇(106500)
家居+医疗+武器,1,6,7,18,《富春山居图》(1236666),豪宅管理用黑盒(7402320);羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),重型巡航摩托车(357040);金缕玉衣(281600);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
家居+数码+交通,1,6,7,15,超级跑车钥匙(1495000),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);复苏呼吸机(1089660);相控阵雷达(1003000),AI服务器(470400);重型巡航摩托车(357040);小米云端100寸液晶电视(255115);小米全智能扫地机器人(170362);单人郊游快艇(106500)
家居+武器+交通,1,6,7,17,《富春山居图》(1236666),豪宅管理用黑盒(7402320);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);相控阵雷达(1003000),重型巡航摩托车(357040);金缕玉衣(281600);古剑(143100);黄金权杖(141300);单人郊游快艇(106500)
珠宝+饮食+书籍,1,6,7,16,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),红木屏风(361000);敦煌绢画(255840);斯卡奥小金人(168000);黄金权杖(141300);单人郊游快艇(106500)
医疗+数码+饮食,1,6,6,17,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);古医书《伤寒论》(158940);单人郊游快艇(106500)
医疗+武器+数码,1,6,6,21,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);古剑(143100);单人郊游快艇(106500)
数码+饮食+书籍,1,6,6,15,《富春山居图》(1236666),羊脂白玉籽和田玉(2516000);蓝鳍金枪鱼(1552500);复苏呼吸机(1089660);百年人参(1039000);相控阵雷达(1003000),AI服务器(470400);红木屏风(361000);重型巡航摩托车(357040);敦煌绢画(255840);单人郊游快艇(106500)
医疗+数码+交通,1,5,8,16,复苏呼吸机(1089660),羊脂白玉籽和田玉(2516000);私人直升机黑匣子(1688400);蓝鳍金枪鱼(1552500);超级跑车钥匙(1495000);《富春山居图》(1236666);百年人参(1039000);相控阵雷达(1003000),超声波诊断仪(475000);AI服务器(470400);重型巡航摩托车(357040);单人郊游快艇(106500)
